232, 631, 1998
-,-,-
114, 420, 1861
126, 221, 1506
190, 19, 1344
190, 19, 1344
294, -112, 1303
303, -211, 1190
-,-,-
0, 847, 1121
0, 847, 1121
95, 716, 1145
174, 650, 1187
231, 416, 1162
306, 122, 1117
306, 122, 1117
279, -61, 982
161, -238, 829
46, -561, 751
45, -968, 751
123, -1322, 606
123, -1322, 606
235, -1519, 322
384, -1584, 306
413, -1428, 108
438, -1135, -38
499, -748, 147
519, -279, 608
409, 124, 1090
377, 498, 1576
377, 498, 1576
268, 697, 1963
-,-,-
172, 724, 822
378, 140, 683
446, -530, 644
643, -1236, 919
732, -1619, 1088
603, -1698, 809
603, -1698, 809
479, -1602, 628
353, -1410, 371
219, -1149, 201
173, -899, 94
175, -614, 80
177, -199, 411
213, 98, 851
213, 98, 851
258, 347, 1189
291, 559, 1708
243, 705, 1998
138, 772, 1998
88, 690, 1998
88, 690, 1998
90, 531, 1937
137, 323, 1720
178, 111, 1517
-,-,-
316, 484, 1058
434, 20, 886
503, -468, 853
503, -468, 853
537, -940, 898
571, -1309, 870
605, -1657, 799
531, -1799, 583
379, -1668, 299
298, -1469, 57
276, -1151, -108
173, -759, -193
173, -759, -193
71, -358, -145
48, -7, 238
118, 233, 798
289, 357, 1345
360, 490, 1863
360, 490, 1863
380, 486, 1998
336, 402, 1998
303, 253, 1998
334, 104, 1998
415, -73, 1997
444, -231, 1846
-,-,-
-351, 1256, 1126
-373, 1447, 1336
-197, 1344, 1410
-15, 1153, 1157
322, 694, 1135
520, 144, 1281
564, -300, 1367
599, -691, 1313
467, -964, 1180
366, -1180, 955
255, -1317, 602
255, -1317, 602
156, -1380, 307
58, -1283, -30
-24, -1088, -346
-63, -767, -494
-69, -447, -360
-49, -145, -20
164, 31, 430
561, 205, 1244
561, 205, 1244
725, 346, 1963
540, 338, 1998
551, 129, 1998
694, -165, 1998
602, -300, 1991
463, -347, 1755
353, -391, 1405
353, -391, 1405
300, -455, 1123
-,-,-
-124, 104, 1117
-345, 493, 1461
-312, 762, 1766
-232, 997, 1819
-119, 1059, 1705
77, 1007, 1489
153, 932, 1099
153, 932, 1099
115, 691, 705
174, 321, 456
352, -105, 423
542, -634, 475
568, -1130, 597
568, -1670, 694
568, -1670, 694
651, -1998, 716
578, -1998, 597
458, -1787, 258
422, -1391, 70
266, -902, 39
183, -473, 229
157, -66, 624
157, -66, 624
263, 223, 1367
340, 619, 1965
342, 792, 1998
286, 759, 1998
272, 612, 1998
272, 612, 1998
340, 308, 1918
372, -10, 1552
-,-,-
370, 484, 1033
424, -24, 651
389, -494, 392
334, -795, 462
334, -795, 462
349, -1076, 651
393, -1359, 658
310, -1493, 371
178, -1511, -42
102, -1372, -319
161, -1113, -379
252, -829, -342
391, -580, -38
482, -309, 633
482, -309, 633
615, -106, 1346
716, 37, 1955
662, 136, 1998
513, 249, 1998
225, 271, 1998
21, 252, 1904
21, 252, 1904
-45, 223, 1529
4, 116, 1316
62, 55, 1273
131, -35, 1204
131, -35, 1204
-,-,-
510, -190, 899
597, -779, 932
597, -779, 932
634, -1137, 979
654, -1388, 959
556, -1495, 783
371, -1419, 405
79, -1201, 60
-52, -947, -109
-50, -657, -61
40, -449, 102
40, -449, 102
203, -317, 388
358, -272, 727
461, -217, 1092
535, -148, 1363
545, -37, 1612
507, 76, 1804
507, 76, 1804
362, 108, 1802
254, 153, 1744
205, 157, 1663
187, 149, 1566
202, 98, 1523
202, 98, 1523
-,-,-
549, -411, 810
617, -1041, 918
662, -1449, 1034
628, -1643, 885
459, -1637, 263
267, -1403, -316
80, -1158, -459
80, -1158, -459
79, -800, -396
112, -507, -246
202, -273, 75
366, -73, 620
495, 101, 1232
487, 263, 1615
487, 263, 1615
363, 441, 1972
187, 538, 1998
75, 506, 1998
51, 445, 1971
57, 399, 1773
57, 399, 1773
114, 345, 1536
175, 238, 1344
204, 112, 1251
201, 4, 1161
233, -119, 1095
-,-,-
382, -761, 896
357, -1106, 641
338, -1323, 366
349, -1430, 49
239, -1401, -222
154, -1256, -427
148, -972, -429
238, -653, -116
238, -653, -116
440, -469, 359
622, -290, 971
673, 0, 1524
644, 191, 1961
461, 297, 1998
192, 333, 1998
192, 333, 1998
47, 367, 1888
-40, 361, 1723
-42, 287, 1556
76, 147, 1429
182, 16, 1303
182, 16, 1303
252, -76, 1264
-,-,-
196, 179, 656
275, -362, 599
337, -975, 640
445, -1514, 850
581, -1891, 776
559, -1976, 421
403, -1571, -137
261, -999, -409
147, -490, -237
147, -490, -237
30, -97, 29
106, 171, 546
293, 381, 1161
438, 532, 1740
504, 423, 1998
504, 423, 1998
442, 209, 1998
395, -17, 1954
365, -163, 1738
378, -280, 1525
366, -324, 1340
332, -323, 1244
323, -306, 1194
315, -267, 1127
-,-,-
30, 1080, 1503
78, 895, 1220
182, 657, 982
350, 376, 1037
432, 61, 1078
432, 61, 1078
412, -260, 1063
359, -538, 949
390, -948, 768
439, -1357, 664
440, -1657, 481
362, -1748, 20
187, -1517, -406
52, -1081, -584
52, -1081, -584
-37, -757, -690
-6, -462, -358
312, -261, 379
491, -125, 1112
698, 53, 1851
807, 71, 1998
807, 71, 1998
789, -8, 1998
622, -77, 1998
531, -142, 1931
444, -174, 1615
390, -218, 1316
356, -254, 1139
-,-,-
423, 243, 1040
440, -130, 1072
339, -440, 1120
125, -748, 1055
125, -748, 1055
48, -1028, 982
29, -1289, 778
48, -1458, 535
126, -1551, 191
196, -1435, -54
258, -1147, -212
327, -811, -114
330, -452, 78
330, -452, 78
334, -125, 478
412, 162, 1071
469, 392, 1688
422, 493, 1992
356, 464, 1998
345, 358, 1998
345, 358, 1998
332, 225, 1994
347, 85, 1797
404, -79, 1556
-,-,-
166, 255, 855
166, 255, 855
238, -88, 960
312, -494, 1089
292, -854, 1106
269, -1112, 1095
228, -1222, 1037
159, -1261, 872
124, -1242, 648
130, -1098, 453
131, -881, 244
131, -881, 244
120, -693, 25
164, -538, -43
229, -305, 71
267, -36, 422
384, 95, 838
384, 95, 838
497, 166, 1393
542, 141, 1878
447, 125, 1998
311, 173, 1958
311, 173, 1958
242, 156, 1808
214, 103, 1671
289, 33, 1611
392, -87, 1582
-,-,-
370, -428, 863
323, -861, 833
360, -1206, 872
310, -1534, 651
319, -1665, 241
319, -1665, 241
311, -1499, -199
323, -1177, -231
437, -966, 11
527, -764, 380
633, -484, 858
645, -191, 1418
464, 124, 1708
290, 293, 1783
290, 293, 1783
108, 334, 1688
17, 294, 1578
43, 254, 1538
154, 134, 1568
295, -10, 1637
295, -10, 1637
-,-,-
245, 634, 1097
310, 335, 1019
512, -172, 1052
602, -698, 1107
550, -1167, 1106
474, -1458, 1006
337, -1578, 654
245, -1569, 337
171, -1464, 71
171, -1464, 71
73, -1258, -141
27, -945, -240
57, -673, -261
109, -410, -128
183, -147, 317
375, 42, 943
375, 42, 943
584, 89, 1634
642, 26, 1993
514, -20, 1998
302, -64, 1987
302, -64, 1987
183, -68, 1752
189, -102, 1541
-,-,-
-29, 1625, 1153
89, 1473, 843
531, 1057, 827
734, 380, 867
734, 380, 867
740, -321, 1051
852, -1136, 1151
630, -1676, 1186
510, -1967, 1086
560, -1998, 1007
558, -1991, 521
452, -1774, 53
432, -1381, -305
384, -777, -340
258, -155, -7
